soolName,thumb_count,soolId,proof,is_recommend,month
1000억 유산균 막걸리,16,PR00000170,5.0,Y,10
1000억 유산균 막걸리,10,PR00000170,5.0,N,2
1000억 유산균 막걸리,13,PR00000170,5.0,N,3
1000억 유산균 막걸리,6,PR00000170,5.0,N,6
1000억 유산균 막걸리,17,PR00000170,5.0,N,11
1000억 유산균 막걸리,13,PR00000170,5.0,N,5
1000억 유산균 막걸리,11,PR00000170,5.0,N,8
1000억 유산균 막걸리,13,PR00000170,5.0,N,4
1000억 유산균 막걸리,19,PR00000170,5.0,N,7
1000억 유산균 막걸리,8,PR00000170,5.0,N,8
1000억 유산균 막걸리,10,PR00000170,5.0,N,8
1000억 유산균 막걸리,7,PR00000170,5.0,Y,4
1000억 유산균 막걸리,10,PR00000170,5.0,N,8
1000억 유산균 막걸리,6,PR00000170,5.0,N,12
1000억 유산균 막걸리,16,PR00000170,5.0,N,4
1000억 유산균 막걸리,6,PR00000170,5.0,N,9
1000억 유산균 막걸리,7,PR00000170,5.0,N,6
1000억 유산균 막걸리,15,PR00000170,5.0,N,12
1000억 유산균 막걸리,6,PR00000170,5.0,N,8
1000억 유산균 막걸리,17,PR00000170,5.0,N,5
1932 새싹땅콩+햅쌀/흑미,7,PR00000210,6.0,N,9
1932 새싹땅콩+햅쌀/흑미,11,PR00000210,6.0,N,9
1932 새싹땅콩+햅쌀/흑미,14,PR00000210,6.0,N,10
1932 새싹땅콩+햅쌀/흑미,9,PR00000210,6.0,N,9
1932 새싹땅콩+햅쌀/흑미,17,PR00000210,6.0,Y,9
1932 새싹땅콩+햅쌀/흑미,8,PR00000210,6.0,N,7
1932 새싹땅콩+햅쌀/흑미,9,PR00000210,6.0,N,10
1932 새싹땅콩+햅쌀/흑미,16,PR00000210,6.0,N,1
1932 새싹땅콩+햅쌀/흑미,19,PR00000210,6.0,N,9
1932 새싹땅콩+햅쌀/흑미,6,PR00000210,6.0,N,2
1932 새싹땅콩+햅쌀/흑미,6,PR00000210,6.0,N,9
1932 새싹땅콩+햅쌀/흑미,16,PR00000210,6.0,N,9
1932 새싹땅콩+햅쌀/흑미,6,PR00000210,6.0,N,6
1932 새싹땅콩+햅쌀/흑미,15,PR00000210,6.0,N,9
1932 새싹땅콩+햅쌀/흑미,17,PR00000210,6.0,N,9
1932 새싹땅콩+햅쌀/흑미,14,PR00000210,6.0,N,5
1932 새싹땅콩+햅쌀/흑미,17,PR00000210,6.0,N,10
1932 새싹땅콩+햅쌀/흑미,7,PR00000210,6.0,N,8
1932 새싹땅콩+햅쌀/흑미,12,PR00000210,6.0,N,9
